sentence,currency,sentiment
*ECB SEES RATES AT PRESENT LEVELS WELL PAST END OF NET PURCHASES,EUR,0
*ECB CHANGES LANGUAGE ON ASSET PURCHASES,EUR,0
*ECB WILL REINVEST FOR EXTENDED PERIOD AFTER NET BUYING ENDS,EUR,0
*ECB WILL REINVEST MATURING DEBT FOR AS LONG AS NECESSARY,EUR,0
*ECB SAYS REINVESTMENTS WILL HELP DELIVER APPROPRIATE STANCE,EUR,0
*ECB DROPS EXPLICIT PLEDGE TO INCREASE SIZE OF QE IF NEEDED,EUR,60
ECB Drops Pledge to Increase Asset Program If Necessary: TOPLive,EUR,60
"ECB Changes Language on Asset Purchases, Keeps Rates Unchanged",EUR,0
ECB Tweaks Policy Language in Sign of Confidence in the Economy,EUR,60
Euro Reverses Drop After ECB Changes Language on Asset Purchases,EUR,60
Bunds Extend Decline After ECB Drops Easing Bias in QE Guidance,EUR,60
International Funds Lead Net Inflows Among U.S. ETFs,USD,0
U.S. ETFs Outflow $1.8B From Total Asset Class on March 7,USD,0
U.S. ETFs Outflow $897M From Technology Sector March 7,USD,0
U.S. ETFs Inflow $1.4B to International Market on March 7,USD,0
German Notes Bear Brunt of Langage Shift,EUR,0
"*CANADA FEB. HOUSING STARTS AT ANNUAL RATE 229,737 UNITS",CAD,0
ECB Unexpectedly Dials Back Stimulus Pledge as Economy Improves,EUR,60
There Go Germany's 5s/30s Steepeners,EUR,0
Canada Housing Starts Unexpectedly Accelerate in February,CAD,60
Draghi Set to Discuss ECB's Policy Language Shift: TOPLive,EUR,1
Canada Housing Starts Unexpectedly Quicken in February (Correct),CAD,60
*U.S. CONTINUING JOBLESS CLAIMS AT 1.870MLN TWO WEEKS AGO,USD,0
"*U.S. INITIAL JOBLESS CLAIMS AT 231,000 LAST WEEK",USD,0
"*U.S. TOTAL BENEFIT ROLLS DECREASE BY 64,000 TO 1.87 MILLION",USD,0
"*U.S. JOBLESS CLAIMS RISE 21,000 TO 231,000; EST. 220,000",USD,-60
"*U.S. FOUR-WEEK CLAIMS AVERAGE RISES TO 222,500 FROM 220,500",USD,0
U.S. Jobless Claims Rise More Than Expected From 48-Year Low,USD,-60
*DRAGHI: QE TO RUN UNTIL ECB SEES SUSTAINED INFLATION ADJUSTMENT,EUR,0
"*U.S. WHEAT TOTAL CROP EXPORT SALES 428,400 TONS LAST WEEK",USD,0
"*U.S. SOYBEAN OLD CROP EXPORT SALES 2,509,400 TONS LAST WEEK",USD,0
"*U.S. CORN OLD CROP EXPORT SALES 1,857,500 TONS LAST WEEK",USD,0
"*U.S. CORN TOTAL CROP EXPORT SALES 1,927,800 TONS LAST WEEK",USD,0
"*U.S. SOYBEAN TOTAL CROP EXPORT SALES 2,653,300 TONS LAST WEEK",USD,0
MARIO DRAGHI SPEAKS AT ECB NEWS CONF. IN FRANKFURT: LIVE <GO>,EUR,0
*DRAGHI: CONVINCING SIGNS OF SUSTAINED INFLATION PICK-UP NEEDED,EUR,0
*DRAGHI: STRONG MOMENTUM BOOSTS CONFIDENCE IN INFLATION PICK-UP,EUR,60
Toronto's New Home Prices Fall for the First Time Since 2014,CAD,-60
*ECB SEES 2018 GDP GROWTH AT 2.4% VS 2.3%,EUR,60
*ECB SEES 2019 GDP GROWTH AT 1.9% VS 1.9%,EUR,0
*ECB SEES 2020 GDP GROWTH AT 1.7% VS 1.7%,EUR,0
*DRAGHI SAYS RISKS TO EURO-AREA GROWTH OUTLOOK BROADLY BALANCED,EUR,0
*DRAGHI: STRONG MOMENTUM COULD LEAD TO POSITIVE GROWTH SURPRISES,EUR,60
*ECB RAISES 2018 GDP FORECAST TO 2.4% VS 2.3%,EUR,60
*DRAGHI: INFLATION TO HOVER AROUND 1.5% FOR REST OF YEAR,EUR,0
Draghi Mentions Currencies But Euro Presses Higher,EUR,60
*ECB SEES 2018 INFLATION AT 1.4% VS. 1.4%,EUR,0
*ECB SEES 2019 INFLATION AT 1.4% VS. 1.5%,EUR,0
*ECB SEES 2020 INFLATION AT 1.7% VS. 1.7%,EUR,0
Euro Rises Even As Draghi Mentions Exchange Rate: Markets Live,EUR,0
"*ECB TRIMS 2019 INFLATION FORECAST TO 1.4%, KEEPS 2020 AT 1.7%",EUR,0
*EUROGROUP MAY DISCUSS GREEK DEBT IN APRIL MEETING: EU OFFICIAL,EUR,0
*DRAGHI: ECB MEASURES SUPPORT BORROWING CONDITIONS SIGNIFICANTLY,EUR,0
ECB Raises 2018 GDP Forecast to 2.4% From 2.3%: TOPLive,EUR,60
"ECB Raises 2018 Growth Forecast, Draghi Says Momentum is Strong",EUR,60
*DRAGHI SAYS ECB DOESN'T HAVE ENOUGH INFORMATION ON LATVIA,EUR,0
*DRAGHI SAYS ECB TO ASK ECJ FOR ADVICE ON LATVIA'S ACTIONS,EUR,0
"EUR Eases From High as Draghi Cites Protectionism, FX as Risks",EUR,0
USD Erases Decline; Global Equity Rout Suppresses Risk Appetite,USD,0
Dollar Reverses Loss After U.S. CPI Rises More Than Forecast,USD,60
USD Nursing Slight Losses as Budget Plan Awaited; USTs Choppy,USD,0
USD Hits New Daily High as Stock Rout Drives Risk Aversion,USD,60
Dollar Posts First Gain of the Week as Profits Locked In,USD,60
*DRAGHI SAYS THERE WASN'T MUCH DISCUSSION ON OTHER POLICY SHIFTS,EUR,0
USD Erases Drop as Intraday Longs Bail in Euro; ADP Awaited,USD,0
*DRAGHI SAYS VICTORY CAN'T BE DECLARED YET ON INFLATION,EUR,0
*DRAGHI: CONCERN ABOUT THE STATE OF INTERNATIONAL RELATIONS,EUR,0
Draghi Says ECB Decision on QE Language Change Was Unanimous,EUR,0
*DRAGHI SAYS WOULDN'T CALL EXCHANGES ON TRADE A WAR YET,EUR,0
"*DRAGHI: IF YOU PUT TARIFFS ON ALLIES, WHO ARE YOUR ENEMIES?",EUR,0
Draghi Says Unilateral Trade Decisions Are `Dangerous': TOPLive,EUR,0
Draghi Unleashes His Inner Dove,EUR,0
*DRAGHI: CURRENT SITUATION ON MONEY LAUNDERING NOT SATISFACTORY,EUR,0
Draghi Says Euro-Area Turnaround Warrants Policy Dial-Back,EUR,0
Euro Pullback Shows Draghi Knows How to Play the Dove,EUR,0
"Thank Draghi's Downplay, Euro Pullback for Perkier Stocks",EUR,0
*DRAGHI SAYS GENDER BALANCE AT ECB OUGHT TO BE IMPROVED,EUR,0
*DRAGHI: `ABSOLUTELY CONFIDENT' GUINDOS WILL BE GOOD COLLEAGUE,EUR,0
Bunds Pare Losses After ECB Lowers 2019 Inflation Forecasts,EUR,0
Peripherals Take Heart From Draghi's Tone,EUR,0
"*DRAGHI: TWO MAJOR RISKS RELATE TO TRADE, FINANCIAL DEREGULATION",EUR,0
Draghi Says No Market Angst Over Clarity of Forward Guidance,EUR,0
`Well Past' May Be ECB's Most Important Policy Signal,EUR,0
*ECB DEPOSIT FACILITY RATE UNCHANGED AT -0.400%,EUR,0
*ECB LEAVES MARGINAL RATE UNCHANGED AT 0.250%,EUR,0
*ECB LEAVES MAIN REFINANCING RATE UNCHANGED AT 0%,EUR,0
*ECB LEAVES DEPOSIT FACILITY RATE UNCHANGED AT -0.4%,EUR,0
*ECB LEAVES MARGINAL LENDING FACILITY UNCHANGED AT 0.25%,EUR,0
*ECB SAYS QE TO RUN UNTIL SUSTAINED ADJUSTMENT IN INFLATION PATH,EUR,0
*ECB SEES INTEREST RATES AT PRESENT LEVELS FOR EXTENDED PERIOD,EUR,0
*ECB SEES RATES AT PRESENT LEVELS WELL PAST END OF NET PURCHASES,EUR,0
*ECB WILL REINVEST FOR EXTENDED PERIOD AFTER NET BUYING ENDS,EUR,0
*ECB WILL REINVEST MATURING DEBT FOR AS LONG AS NECESSARY,EUR,0
*ECB SAYS REINVESTMENTS WILL HELP DELIVER APPROPRIATE STANCE,EUR,0
Draghi Is the Main Event After ECB Holds Rates,EUR,0
ECB Holds Rates as Market Awaits Draghi Economy Outlook: TOPLive,EUR,0
Draghi Is Main Event After ECB Stands Pat on Rates: Markets Live,EUR,0
ECB Keeps Policy Unchanged as Slower Growth Favors Caution,EUR,0
Pattern of Tepid Spending Helps Explain Slower U.S. GDP: Chart,USD,0
Draghi May Not Offer Any Catalysts to Boost Stocks,EUR,0
Zhongjin Gold Full Year Net Income 291.3 Mln Yuan,CNY,0
German Futures Open Interest Inconclusive On Large Block Trade,EUR,0
"Euro Pares Advance Ahead of Draghi, Amid Comments From Di Maio",EUR,0
Draghi Set to Comment on Economy After ECB Holds Rates: TOPLive,EUR,0
*U.S. ADVANCE RETAIL INVENTORIES FELL 0.4 % IN MARCH,USD,0
*U.S. CONTINUING JOBLESS CLAIMS AT 1.837MLN TWO WEEKS AGO,USD,0
"*U.S. INITIAL JOBLESS CLAIMS AT 209,000 LAST WEEK",USD,0
*U.S. MARCH DURABLE GOODS ORDERS RISE 2.6%,USD,0
*U.S. ADVANCE WHOLESALE INVENTORIES ROSE 0.5 % IN MARCH,USD,0
*U.S. ADVANCED MARCH GOODS TRADE DEFICIT AT $68.0B,USD,0
*U.S. MARCH DURABLE GOODS ORDERS RISE 2.6%; EX-TRANS. UNCHANGED,USD,0
*U.S. DURABLE GOODS ORDERS STRONGER THAN FORECAST OF 1.6% GAIN,USD,0
*U.S. MARCH NON-DEFENSE CAPITAL GOODS ORDERS EX-AIR. FALL 0.1%,USD,0
*U.S. MARCH DURABLE GOODS ORDERS EX-DEFENSE INCREASE 2.8%,USD,0
*DURABLE GOODS INVENTORIES IN U.S. ROSE 0.1% IN MARCH,USD,0
"*U.S. FOUR-WEEK CLAIMS AVERAGE DROPS TO 229,250 FROM 231,500",USD,0
"*U.S. JOBLESS CLAIMS FALL 24,000 TO 209,000; EST. 230,000",USD,0
"*U.S. TOTAL BENEFIT ROLLS DECREASE BY 29,000 TO 1.84 MILLION",USD,0
Orders for U.S. Capital Equipment Eased Unexpectedly in March,USD,0
U.S. Jobless Claims Slump on Return of New York School Workers,USD,0
"*U.S. CORN TOTAL CROP EXPORT SALES 620,500 TONS LAST WEEK",USD,0
"*U.S. CORN OLD CROP EXPORT SALES 697,100 TONS LAST WEEK",USD,0
"*U.S. SOYBEAN TOTAL CROP EXPORT SALES 537,800 TONS LAST WEEK",USD,0
"*U.S. SOYBEAN OLD CROP EXPORT SALES 371,300 TONS LAST WEEK",USD,0
"*U.S. WHEAT TOTAL CROP EXPORT SALES 577,900 TONS LAST WEEK",USD,0
U.S. March Advanced Goods Trade Deficit at $68b,USD,0
*CANADA NON-FARM PAYROLLS ROSE 42.1K IN FEB. TO 16.5 MLN,CAD,0
*CANADA AVERAGE EARNINGS ROSE 3.4% FROM YEAR EARLIER IN FEB.,CAD,0
U.S. Durables Confirm CAT Caution,USD,0
*ECB PRESIDENT DRAGHI STARTS PRESS CONFERENCE IN FRANKFURT,EUR,0
U.S. Merchandise-Trade Gap Narrows to Smallest Since September,USD,0
*DRAGHI: UNDERLYING INFLATION LACKS CONVINCING UPWARD TREND,EUR,0
MARIO DRAGHI SPEAKS AT ECB NEWS CONF. IN FRANKFURT: LIVE <GO>,EUR,0
"Draghi's Take On Growth, Euro",EUR,0
*DRAGHI SAYS PROTECIONISM RISKS MORE PRONOUNCED,EUR,0
Draghi Says ECB Expects Economic Growth to Remain Solid: TOPLive,EUR,60
"Draghi Says Data Point Toward Moderation, With Solid Expansion",EUR,60
Orders for U.S. Capital Equipment in March Ease Unexpectedly (1),USD,-60
Draghi's Balanced Tone Means Small Euro Squeeze,EUR,0
"TES UVR 2039 Auction; ECB Holds Rates, QE Plan: Colombia Today",EUR,0
*DRAGHI SAYS THERE ARE CERTAIN ENCOURAGING SIGNS ON WAGE GROWTH,EUR,60
U.S. Goods-Trade Gap Shrinks to Six-Month Low as Imports Plunge,USD,0
"Draghi Says Loss of Momentum Is Broad Across Countries, Sectors",EUR,0
ECB Didn't Discuss FX Volatility,EUR,0
Draghi Offers Caution Tempered By Confidence,EUR,0
"*DRAGHI: TRADE SPATS HAVE PROFOUND, RAPID EFFECT ON CONFIDENCE",EUR,0
Bund Futures Drop From Day High as Draghi Sees Growth as Solid,EUR,0
"Trade Spats Can Have Rapid Effect on Confidence, Draghi Says",EUR,0
*DRAGHI: MUST UNDERSTAND IF SLOWDOWN IS TEMPORARY OR PERMANENT,EUR,0
*ECB'S CONSTANCIO: UNCONVENTIONAL POLICY COULD BE USED AGAIN,EUR,0
*ECB'S CONSTANCIO DOUBTS CAN GO BACK TO SIMPLE MONETARY POLICY,EUR,0
Euro Gains as Draghi Says ECB Didn't Discuss Volatility: TOPLive,EUR,0
*DRAGHI SAYS LATVIA CAN'T VOTE UNTIL A GOVERNOR IS IN PLACE,EUR,0
*DRAGHI SAYS INDEPENDENCE OF GOVERNORS MUST BE PRESERVED,EUR,0
Draghi Says ECB Must Judge if Slowdown Is Temporary or Permanent,EUR,0
German Stocks Trail Most of Europe as Draghi Unfolds,EUR,0
Bears to Lose Steam With Canada Yields at 7-Year High (Correct),CAD,0
*DRAGHI REITERATES ECB WILL REACT TO ANY UNWARRANTED TIGHTENING,EUR,0
*DRAGHI: ECB IS READY TO ADAPT `AMPLE' ACCOMMODATION IF NEEDED,EUR,0
"*DRAGHI SAYS PROGRESS ON BANKING, CAPITAL MARKETS UNION OVERDUE",EUR,0
Home Prices in 20 U.S. Cities Rise by Most Since Mid-2014 (1),USD,60
CORRECT: TES UVR 2049 Auction; ECB Holds Rate: Colombia Today,EUR,0
"*DRAGHI SAYS ECB'S JUNE PRESS CONFERENCE WILL BE IN RIGA, LATVIA",EUR,0
*PERU CHANGES USD RESERVE RATIO RULES TO BOOST TRADE FINANCE,USD,0
"MAJOR TECHS: GBP Testing Band Support, Break Opens Fibo 1.3818",GBP,0
JPY Gains Within Bull Channel Back Toward 105.25: Major Techs,JPY,0
GBP Rally Fails Above 2nd Upper Band at 1.4143: Major Techs,GBP,-60
GBP Testing 2nd Upper Band Toward YTD Highs: Major Techs,GBP,0
"GBP Rally Stalling Near 1.4204, Second Upper Band: Major Techs",GBP,0
*BANKING UNION TOP PRIORITY FOR SPAIN IN JUNE EUROGROUP MEETING,EUR,0
*SPAIN WON'T TARGET SET AMOUNT FOR EU RAINY DAY FUND: OFFICIAL,EUR,0
*SPAIN EXPECTS NO SHIFT ON EU UNDER NEW GERMAN CABINET: OFFICIAL,EUR,0
"U.S. Stocks Drift, Dollar Slips Before Fed News: Markets Wrap",USD,-60
U.S. Producer Prices Climb More Than Forecast on Fuel Costs (1),USD,60
ARS Volatility Rises as Traders Await FOMC: Inside Argentina,USD,0
*ECB DEPOSIT FACILITY RATE UNCHANGED AT -0.400%,EUR,0
*ECB LEAVES MARGINAL RATE UNCHANGED AT 0.250%,EUR,0
*ECB ALTERS LANGUAGE IN MONETARY POLICY STATEMENT,EUR,0
*ECB CHANGES FORWARD GUIDANCE ON INTEREST RATES,EUR,0
*ECB WILL BUY 30 BILLION EUROS OF DEBT UNTIL END OF SEPTEMBER,EUR,0
*ECB CHANGES GUIDANCE ON ITS ASSET-PURCHASE PROGRAM,EUR,0
*ECB CHANGES GUIDANCE ON ITS ASSET-PURCHASE PROGRAM,EUR,0
*ECB: ASSET PURCHASES WILL BE EU15/MONTH FROM OCT TO DEC,EUR,0
*ECB TO KEEP RATES UNCHANGED UNTIL AT LEAST SUMMER OF 2019,EUR,0
*ECB TO KEEP RATES UNCHANGED UNTIL AT LEAST SUMMER OF 2019,EUR,0
*ECB SAYS NET ASSET PURCHASES TO BE HALTED BY END OF DECEMBER,EUR,0
*ECB TO REINVEST DEBT FOR EXTENDED PERIOD AFTER NET BUYING ENDS,EUR,0
*ECB WILL REINVEST MATURING DEBT FOR AS LONG AS NECESSARY,EUR,0
*ECB SAYS DECISION ON ASSET PURCHASES DEPENDS ON INCOMING DATA,EUR,0
*GERMAN 10-YEAR YIELDS RISE 3BPS TO 0.51% AFTER ECB,EUR,0
*ECB SAYS NET ASSET PURCHASES TO BE HALTED BY END OF DECEMBER,EUR,0
*ECB PLANS TO REDUCE MONTHLY ASSET PURCHASES AFTER SEPTEMBER,EUR,60
*ECB: ASSET PURCHASES WILL BE EU15B/MONTH FROM OCT TO DEC,EUR,0
*ECB SAYS ITS ACTIONS ENSURE CONVERGENCE OF INFLATION TO GOAL,EUR,0
*ECB TIES RATE OUTLOOK TO SUSTAINABLE INFLATION PATH,EUR,0
ECB Precommits,EUR,0
*FORINT PARES LOSS VS EURO AFTER ECB RATE MEETING STATEMENT,EUR,0
ECB to Keep Rates Unchanged Until at Least Summer 2019: TOPLive,EUR,0
"Focus Is On ECB Rates Pledge for Euribor, Euro",EUR,0
ECB Says Net Asset Purchases to Be Halted by End of December,EUR,60
Euro Falls as ECB Signals Rates to Be Frozen Through Summer 2019,EUR,-60
ECB Adds Detail to Reinvestment Policy,EUR,0
Euro Falls as ECB Guidance Seen by Markets as Dovish: TOPLive,EUR,-60
ECB's Dovish Cry Is Music to Eastern Europe's Ears,EUR,-60
ECB Is Clearly Convinced by Strength of Recovery: BE,EUR,60
"Stocks Advance, Euro Falls After ECB Rate Pledge: Markets Wrap",EUR,-60
Beware Chasing Euro Lower Before Draghi Speaks,EUR,0
"Risky to Chase Euro Lower Into ECB Press Conference, TD Says",EUR,0
*U.S. CONTINUING JOBLESS CLAIMS AT 1.697MLN TWO WEEKS AGO,USD,0
"*U.S. INITIAL JOBLESS CLAIMS AT 218,000 LAST WEEK",USD,0
"*U.S. APRIL RETAIL SALES ROSE 0.4%, REVISED FROM 0.2% GAIN",USD,60
*U.S. MAY RETAIL SALES RISE 0.8% M/M; EX-AUTOS UP 0.9%,USD,0
*U.S. MAY RETAIL SALES EXCEED MEDIAN EST. 0.4% RISE,USD,60
"*U.S. RETAIL SALES MINUS AUTOS, GASOLINE ROSE 0.8% IN MAY",USD,0
*U.S. MAY RETAIL `CONTROL GROUP' RISES 0.5%; EST. 0.4% RISE,USD,0
*RETAIL SALES IN U.S. INCREASE IN 10 OF 13 MAJOR CATEGORIES,USD,60
*U.S. CONTINUING CLAIMS FALL TO LOWEST SINCE DEC. 1973,USD,60
"*U.S. JOBLESS CLAIMS FALL 4,000 TO 218,000; EST. 223,000",USD,0
"*U.S. TOTAL BENEFIT ROLLS DECREASE BY 49,000 TO 1.697 MILLION",USD,0
"*U.S. FOUR-WEEK CLAIMS AVERAGE FALLS TO 224,250 FROM 225,500",USD,0
*U.S. MAY IMPORT PRICES RISE 0.6% M/M; EX-FUELS UP 0.2%,USD,0
*U.S. MAY RETAIL SALES INCREASE 0.8 %,USD,0
*U.S. MAY IMPORT PRICES INCREASE 0.6 % FROM A MONTH EARLIER,USD,0
*U.S. MAY IMPORT PRICES RISE 4.3 % FROM PREVIOUS YEAR,USD,0
"*U.S. SOYBEAN TOTAL CROP EXPORT SALES 810,600 TONS LAST WEEK",USD,0
"*U.S. SOYBEAN OLD CROP EXPORT SALES 519,600 TONS LAST WEEK",USD,0
"*U.S. WHEAT TOTAL CROP EXPORT SALES 302,400 TONS LAST WEEK",USD,0
"*U.S. CORN TOTAL CROP EXPORT SALES 1,176,600 TONS LAST WEEK",USD,0
"*U.S. CORN OLD CROP EXPORT SALES 936,400 TONS LAST WEEK",USD,0
*DOLLAR STRENGTHENS AFTER U.S. RETAIL SALES AND PRICE DATA,USD,60
"MARIO DRAGHI SPEAKS AT ECB NEWS CONF. IN RIGA, LATVIA: LIVE <GO>",EUR,0
*DRAGHI: ECB UNDERTOOK CAREFUL REVIEW OF INFLATION PROGRESS,EUR,0
